Name,Category,File,File Name,分类,图标名,标签,Tag
cake two,Foods,https://wentin.github.io/IconPark/source/Foods/cake-two.svg,cake-two,餐饮,蛋糕,"甜点, 糕点, 甜食, 甜品, 食物, 点心, 下午茶","desserts, pastries, sweets, desserts, food, snacks, afternoon tea"
creation date sort,Charts,https://wentin.github.io/IconPark/source/Charts/creation-date-sort.svg,creation-date-sort,图表,按创建日期排序,"创建, 日期, 排序, 添加, 图表, 数据","creation date, sort, add, charts, data"
folder plus,Books,https://wentin.github.io/IconPark/source/Books/folder-plus.svg,folder-plus,书籍,文件夹-添加,"文件夹, 添加, 办公","folder, add, office"
loading one,Operate,https://wentin.github.io/IconPark/source/Operate/loading-one.svg,loading-one,操作,加载,"等待, 加载, 转圈, 缓冲","wait, load, circling, buffer"
disk,Others,https://wentin.github.io/IconPark/source/Others/disk.svg,disk,其它,磁盘,"保存, 存储, 储存, 硬盘, 磁盘","preservation, storage, storage, hard disk, disk"
up c,Arrows,https://wentin.github.io/IconPark/source/Arrows/up-c.svg,up-c,方向,上-圆,"向上, 箭头, 圆圈箭头","up arrow, a circle arrows"
full screen,Arrows,https://wentin.github.io/IconPark/source/Arrows/full-screen.svg,full-screen,方向,全局放大,"全屏, 放大","full-screen, enlarge"
laptop computer,Hardware,https://wentin.github.io/IconPark/source/Hardware/laptop-computer.svg,laptop-computer,硬件,笔记本电脑,"移动电脑, 笔记本","mobile computers, notebook"
topic discussion,Communicate,https://wentin.github.io/IconPark/source/Communicate/topic-discussion.svg,topic-discussion,交流,话题讨论,话题讨论,topic of discussion
gymnastics one,Sports,https://wentin.github.io/IconPark/source/Sports/gymnastics-one.svg,gymnastics-one,运动,体操1,"体操, 运动, 跳舞, 跳动, 活动, 训练, 舞蹈, 挥舞, 舞动, 放松, 热身, 体育","gymnastics, sports, dancing, beating, activities, training, dancing, waving, dancing, relaxing, warm-up, sports"
cc,Brand,https://wentin.github.io/IconPark/source/Brand/cc.svg,cc,品牌,巨量创意,"创意中心, 商业化品牌, 创意广告, oceanengine","creative center, the commercial brand, creative advertising, oceanengine"
printer,Hardware,https://wentin.github.io/IconPark/source/Hardware/printer.svg,printer,硬件,打印机,"打印机, 打印, 设备, 纸张, 输出, 硬件","printer, printing equipment, paper, output, hardware"
column,Edit,https://wentin.github.io/IconPark/source/Edit/column.svg,column,编辑,列,"列表, 表格","lists, tables,"
parabola,Others,https://wentin.github.io/IconPark/source/Others/parabola.svg,parabola,其它,抛物线,"抛物线, 试验, 数学, 教育, 科学","parabola, test, mathematics, education, science"
waterfalls h,Base,https://wentin.github.io/IconPark/source/Base/waterfalls-h.svg,waterfalls-h,基础,瀑布流横向,"瀑布, 流程, 布局, 界面","waterfall, flow, layout, interface"
iron,Life,https://wentin.github.io/IconPark/source/Life/iron.svg,iron,家居,熨斗,熨斗,iron
facebook one,Brand,https://wentin.github.io/IconPark/source/Brand/facebook-one.svg,facebook-one,品牌,脸书,"小视频, 短视频, logo, 社交, 社交平台","small video, short video, logo, social networking, social platform"
circle house,Build,https://wentin.github.io/IconPark/source/Build/circle-house.svg,circle-house,建筑,圈舍,"房子, 屋子, 阁楼","house, room, loft"
trumpet,Hardware,https://wentin.github.io/IconPark/source/Hardware/trumpet.svg,trumpet,硬件,喇叭,"声音, 音乐, 乐器, 扩音器, 喇叭","sound, music, musical instruments, amplifiers, speakers"
dashboard,Time,https://wentin.github.io/IconPark/source/Time/dashboard.svg,dashboard,时间,仪表盘,"仪表盘, 仪表, 指针, 数据, 转盘","dashboard, instrument, pointer, data carousel"
list,Base,https://wentin.github.io/IconPark/source/Base/list.svg,list,基础,列表,"目录, 清单, 完成目录, 任务清单","directory, list, complete directory, task list"
monitor one,Hardware,https://wentin.github.io/IconPark/source/Hardware/monitor-one.svg,monitor-one,硬件,显示器,"屏幕, 显示屏, 电脑, 监测台, 窗口, 电视, 电影, 节目, 电视剧","screen, screen, computer, monitoring stations, windows, tv, movies, shows, tv"
golf course,Sports,https://wentin.github.io/IconPark/source/Sports/golf-course.svg,golf-course,运动,高尔夫球场,高尔夫球场 运动,golf sports
treadmill,Sports,https://wentin.github.io/IconPark/source/Sports/treadmill.svg,treadmill,运动,跑步机,"跑步, 器材, 工具, 跑, 智能, 电子, 设备","running, equipment, tools, running, intelligence, electronic equipment"
align left,Edit,https://wentin.github.io/IconPark/source/Edit/align-left.svg,align-left,编辑,左对齐,"左对齐, 对齐","left, align"
outgoing,Arrows,https://wentin.github.io/IconPark/source/Arrows/outgoing.svg,outgoing,方向,传出,"传出, 传送, 输出, 数据, 线, 传出数据","spread, transmission, output data lines, outgoing data"
link one,Base,https://wentin.github.io/IconPark/source/Base/link-one.svg,link-one,基础,链接,"链接, 链条, 锁链","link, chain, chains"
file doc,Office,https://wentin.github.io/IconPark/source/Office/file-doc.svg,file-doc,办公,文档,"文章, 文档, 小说, 合同, 规则, 详情","articles, documents, novels, contracts, rules, details"
chopsticks fork,Foods,https://wentin.github.io/IconPark/source/Foods/chopsticks-fork.svg,chopsticks-fork,餐饮,筷子叉子,筷子叉子 餐饮 吃饭,chopsticks dining dinner fork
rss,Base,https://wentin.github.io/IconPark/source/Base/rss.svg,rss,基础,订阅,"订阅, 信息流, 关注","subscription, information flow, attention"
kagi map,Charts,https://wentin.github.io/IconPark/source/Charts/kagi-map.svg,kagi-map,图表,kagi图,"数据, 图表","data, charts"
green house,Build,https://wentin.github.io/IconPark/source/Build/green-house.svg,green-house,建筑,温室房,"城楼, 阁楼, 房子, 楼房, 大厦","tower, loft, house, building, building"
refresh one,Base,https://wentin.github.io/IconPark/source/Base/refresh-one.svg,refresh-one,基础,刷新,刷新 重置 更新 ,refresh update reset
people,Peoples,https://wentin.github.io/IconPark/source/Peoples/people.svg,people,人群,人员,"用户, 客户, 个人中心, 账户中心, 我的, 员工","users, customers, individual centers, account center, my staff"
straw hat,Clothes,https://wentin.github.io/IconPark/source/Clothes/straw-hat.svg,straw-hat,服饰,草帽,帽子,hat
birthday cake,Foods,https://wentin.github.io/IconPark/source/Foods/birthday-cake.svg,birthday-cake,餐饮,生日蛋糕,生日蛋糕,birthday cake
two hands,Hands,https://wentin.github.io/IconPark/source/Hands/two-hands.svg,two-hands,手势,两只手,"手势, 手, 呵护, 保护","gesture, hand, care, protection"
lightning,Base,https://wentin.github.io/IconPark/source/Base/lightning.svg,lightning,基础,闪电,"闪电, 天气, 打雷, 下雨","lightning, weather, thunder, rain"
folder minus,Books,https://wentin.github.io/IconPark/source/Books/folder-minus.svg,folder-minus,书籍,文件夹-删除,"文件夹, 删除, 办公","folders, delete, office"
hand painted plate,Hardware,https://wentin.github.io/IconPark/source/Hardware/hand-painted-plate.svg,hand-painted-plate,硬件,手绘板,"绘制, 绘画, 控制板, 触控板, 手绘","drawing, painting, control panel, touch panel, painted"
delete themes,Edit,https://wentin.github.io/IconPark/source/Edit/delete-themes.svg,delete-themes,编辑,删除主题,"删除, 清理, 移至废纸篓, 废纸篓","delete, clean up, move to trash, trash"
freezing line column,Edit,https://wentin.github.io/IconPark/source/Edit/freezing-line-column.svg,freezing-line-column,编辑,冻结行列,"固定首行首列, 固定","fixed first line of the first column, fixed"
indent right,Edit,https://wentin.github.io/IconPark/source/Edit/indent-right.svg,indent-right,编辑,右缩进,右缩进,right indent
at sign,Character,https://wentin.github.io/IconPark/source/Character/at-sign.svg,at-sign,符号,邮件符号,"邮件, 圈人, 提醒用户, 相关人","mail, circle of people, to remind the user, person"
file jpg,Edit,https://wentin.github.io/IconPark/source/Edit/file-jpg.svg,file-jpg,编辑,文件-jpg,"文件, 图像, 照片, JPG 文件","files, images, photos, jpg file"
open door,Build,https://wentin.github.io/IconPark/source/Build/open-door.svg,open-door,建筑,开门,"开门, 打开, 立体, 透视","open, open, three-dimensional, perspective"
code download,Edit,https://wentin.github.io/IconPark/source/Edit/code-download.svg,code-download,编辑,下载代码,"下载, 代码, 代码下载","download, code, code download"
movie board,Others,https://wentin.github.io/IconPark/source/Others/movie-board.svg,movie-board,其它,影视板,影视板,television board
arrow down,Arrows,https://wentin.github.io/IconPark/source/Arrows/arrow-down.svg,arrow-down,方向,箭头下,"下, 箭头",down arrow
chart histogram,Charts,https://wentin.github.io/IconPark/source/Charts/chart-histogram.svg,chart-histogram,图表,条形图,"图表, 数据, 柱形图, 趋势, 财经","charts, data, bar graphs, trend, finance"
desk lamp,Hardware,https://wentin.github.io/IconPark/source/Hardware/desk-lamp.svg,desk-lamp,硬件,台灯,"灯具, 电灯","lamps, lights"
click tap two,Hands,https://wentin.github.io/IconPark/source/Hands/click-tap-two.svg,click-tap-two,手势,点击,"点击, 按下, 点按, 触摸, 操作, 编辑","click, press, tap, touch, manipulate, edit"
change,Arrows,https://wentin.github.io/IconPark/source/Arrows/change.svg,change,方向,更改,"修改, 改变, 调整, 数据, 图表","modifications, changes, adjustment, data, graphs"
grid nine,Edit,https://wentin.github.io/IconPark/source/Edit/grid-nine.svg,grid-nine,编辑,九宫格,"九宫格, 表格, 表单, 插入表格","squares, tables, forms, insert a table"
theater,Others,https://wentin.github.io/IconPark/source/Others/theater.svg,theater,其它,影院,"看电影, 幕布, 电影, IMAX","cinema, screen, movies, imax"
pie four,Charts,https://wentin.github.io/IconPark/source/Charts/pie-four.svg,pie-four,图表,进度,"进度, 百分比, 饼图","progress, percentage, pie"
stickers,Operate,https://wentin.github.io/IconPark/source/Operate/stickers.svg,stickers,操作,贴纸,"贴画, 插图, 壁纸","collage, illustration, wallpaper"
tv,Hardware,https://wentin.github.io/IconPark/source/Hardware/tv.svg,tv,硬件,电视,"显示屏, 电影, 投影, 节目, 音乐","screen, movie, projection, shows, music"
plug one,Hardware,https://wentin.github.io/IconPark/source/Hardware/plug-one.svg,plug-one,硬件,插电头,"电器, 电源, 充电器, 插排, 插座","electrical, power supply, charger, socket, socket"
rotation,Edit,https://wentin.github.io/IconPark/source/Edit/rotation.svg,rotation,编辑,旋转,加载,load
slightly frowning face whit open mouth,Emoji,https://wentin.github.io/IconPark/source/Emoji/slightly-frowning-face-whit-open-mouth.svg,slightly-frowning-face-whit-open-mouth,表情,轻微沮丧,轻微沮丧,slightly depressed
cycle movement,Arrows,https://wentin.github.io/IconPark/source/Arrows/cycle-movement.svg,cycle-movement,方向,循环移动,"循环, 移动","cycle, moving"
arrow circle up,Arrows,https://wentin.github.io/IconPark/source/Arrows/arrow-circle-up.svg,arrow-circle-up,方向,上-箭头,"向上, 箭头, 圆圈箭头","up arrow, a circle arrows"
file txt,Edit,https://wentin.github.io/IconPark/source/Edit/file-txt.svg,file-txt,编辑,文件-txt,"文件, 文本文件, 文稿, 写字, 文字","files, text files, presentations, writing, text"
arc de triomphe,Build,https://wentin.github.io/IconPark/source/Build/arc-de-triomphe.svg,arc-de-triomphe,建筑,凯旋门,"建筑, 楼, 门","building, floor, door"
neural,Health,https://wentin.github.io/IconPark/source/Health/neural.svg,neural,医疗健康,神经,"神经科, 精神, 神经元, 医疗","neurology, mental, neurons, medical"
share sys,Others,https://wentin.github.io/IconPark/source/Others/share-sys.svg,share-sys,其它,分享,"分享, 信号, 播音, 投屏","share, signal, broadcast, cast screen"
phone call,Base,https://wentin.github.io/IconPark/source/Base/phone-call.svg,phone-call,基础,电话呼叫,"通话记录, 电话, 呼叫, 通话","call records, phone calls, call"
doc search,Books,https://wentin.github.io/IconPark/source/Books/doc-search.svg,doc-search,书籍,文档搜索,文档搜索,document search
local two,Others,https://wentin.github.io/IconPark/source/Others/local-two.svg,local-two,其它,本地,"本地, 地表, 地点, 地图, 出行, 交通, 运输","local, surface, location, map, travel, transportation, transportation"
broadcast radio,Base,https://wentin.github.io/IconPark/source/Base/broadcast-radio.svg,broadcast-radio,基础,收音机,"收音机, 声音, 播放器, 复古","radio, sound, player, retro"
balance,Others,https://wentin.github.io/IconPark/source/Others/balance.svg,balance,其它,平衡,"平衡点, 支撑点, 中心","balance, support and the center"
download,Arrows,https://wentin.github.io/IconPark/source/Arrows/download.svg,download,方向,下载,"下载, 向下, 箭头","download, down arrow"
water rate two,Others,https://wentin.github.io/IconPark/source/Others/water-rate-two.svg,water-rate-two,其它,水电费,"水电费, 水滴","utilities, water droplets"
bank card,Money,https://wentin.github.io/IconPark/source/Money/bank-card.svg,bank-card,钱财,银行卡,"银行卡, 卡片, 证件","bank card, cards, documents"
folder open,Books,https://wentin.github.io/IconPark/source/Books/folder-open.svg,folder-open,书籍,文件夹-开,"文件夹, 办公","folders, office"
arithmetic one,Charts,https://wentin.github.io/IconPark/source/Charts/arithmetic-one.svg,arithmetic-one,图表,计算,"计算器, 算数, 计算, 算法","calculator, arithmetic, computing, algorithm"
distortion,Edit,https://wentin.github.io/IconPark/source/Edit/distortion.svg,distortion,编辑,扭曲,扭曲 不规则,irregular distortions
font size,Edit,https://wentin.github.io/IconPark/source/Edit/font-size.svg,font-size,编辑,字号大小,"字号大小, 文字","font size, text"
detection,Health,https://wentin.github.io/IconPark/source/Health/detection.svg,detection,医疗健康,检测,"检查, 测试, 实验, 测量","inspection, testing, experiment, measurement"
data three,Charts,https://wentin.github.io/IconPark/source/Charts/data-three.svg,data-three,图表,数据,"部分数据, 数据","part of the data,"
transfer data,Arrows,https://wentin.github.io/IconPark/source/Arrows/transfer-data.svg,transfer-data,方向,双向数据互传,"传输, 传送, 传出, 传入, 互传, 线","transmission, transfer, outgoing, incoming, pass each other, the line"
negative dynamics,Charts,https://wentin.github.io/IconPark/source/Charts/negative-dynamics.svg,negative-dynamics,图表,消极动态,"动态, 消极, 负向, 负向数据, 数据, 图表","dynamic, negative, negative, negative data, data, graphs"
data all,Charts,https://wentin.github.io/IconPark/source/Charts/data-all.svg,data-all,图表,数据,"多数据, 数据, 满数据","multiple data, data, full data"
database search,Datas,https://wentin.github.io/IconPark/source/Datas/database-search.svg,database-search,数据库,数据库搜索,数据库搜索,database search
music,Music,https://wentin.github.io/IconPark/source/Music/music.svg,music,声音,音乐,"音乐, 乐符, 歌曲, 歌声, 播放","music, music symbols, songs, singing, playing"
database power,Datas,https://wentin.github.io/IconPark/source/Datas/database-power.svg,database-power,数据库,数据库电源,数据库电源,database power
play,Base,https://wentin.github.io/IconPark/source/Base/play.svg,play,基础,播放,"视频, 播放, 播放器, 媒体","video, player, players, media"
double down,Arrows,https://wentin.github.io/IconPark/source/Arrows/double-down.svg,double-down,方向,双下,"双下, 双箭头","double, double arrow"
market,Brand,https://wentin.github.io/IconPark/source/Brand/market.svg,market,品牌,易拍,"巨量创意, 易拍, 广告拍摄, 滤镜, 编辑视频, oceanengine","huge amount of creative, easy to shoot, advertising photography, filters, editing video, oceanengine"
treasure chest,Abstract,https://wentin.github.io/IconPark/source/Abstract/treasure-chest.svg,treasure-chest,抽象,宝箱,"宝箱, 箱子, 宝贝","chest, box, baby"
three hexagons,Abstract,https://wentin.github.io/IconPark/source/Abstract/three-hexagons.svg,three-hexagons,抽象,三个菱形,三个菱形,three diamond
hands,Peoples,https://wentin.github.io/IconPark/source/Peoples/hands.svg,hands,人群,举手,"手, 听课, 教学, 这里, 抬手","hand, lectures, teaching, here, raising his hand"
remote control one,Hardware,https://wentin.github.io/IconPark/source/Hardware/remote-control-one.svg,remote-control-one,硬件,遥控器,"控制, 遥控, 开关, 调节, 调整, 命令, 传感器, 感应器","control, remote control, switch, regulate, adjust, commands, sensors, sensors"
mark,Others,https://wentin.github.io/IconPark/source/Others/mark.svg,mark,其它,标记,"旗帜, 旗子, 记号, 活动","banners, flags, signs, activities"
notes,Books,https://wentin.github.io/IconPark/source/Books/notes.svg,notes,书籍,笔记,"文件, 纸张, 文字","documents, papers, text"
bring forward,Edit,https://wentin.github.io/IconPark/source/Edit/bring-forward.svg,bring-forward,编辑,上层,"上层, 顶层","top, top"
microscope,Health,https://wentin.github.io/IconPark/source/Health/microscope.svg,microscope,医疗健康,显微镜,"观察, 高倍镜, 病理科","observation, high-power microscope, department of pathology"
box,Base,https://wentin.github.io/IconPark/source/Base/box.svg,box,基础,盒子,"箱子, 盒子, 纸盒, 容器","boxes, boxes, cartons, containers"
send backward,Edit,https://wentin.github.io/IconPark/source/Edit/send-backward.svg,send-backward,编辑,下层,"下层, 底层","lower, bottom"
sort two,Arrows,https://wentin.github.io/IconPark/source/Arrows/sort-two.svg,sort-two,方向,排序2,排序,sequence
hexagon strip,Abstract,https://wentin.github.io/IconPark/source/Abstract/hexagon-strip.svg,hexagon-strip,抽象,六边条,六边条,hexagonal bar
football,Others,https://wentin.github.io/IconPark/source/Others/football.svg,football,其它,足球,"足球, 运动, 体育","football, sports, sports"
workbench,Others,https://wentin.github.io/IconPark/source/Others/workbench.svg,workbench,其它,工作台,"电脑, 工作桌, 平台","computer, work tables, platform"
light rain,Weather,https://wentin.github.io/IconPark/source/Weather/light-rain.svg,light-rain,天气,小雨,"下雨, 小雨","rain, rain"
arrow right,Arrows,https://wentin.github.io/IconPark/source/Arrows/arrow-right.svg,arrow-right,方向,箭头右,"右, 箭头",right arrow
sport,Sports,https://wentin.github.io/IconPark/source/Sports/sport.svg,sport,运动,运动,"跑步, 健康, 活力","running, health, vitality"
painted screen,Hardware,https://wentin.github.io/IconPark/source/Hardware/painted-screen.svg,painted-screen,硬件,绘制屏,"触控板, 绘制, 屏幕, 平板电脑","touchpad, drawing, screen, tablet"
selected,Edit,https://wentin.github.io/IconPark/source/Edit/selected.svg,selected,编辑,选中,"选中, 命中","selected, hit"
down,Arrows,https://wentin.github.io/IconPark/source/Arrows/down.svg,down,方向,下,"向下, 箭头",down arrow
rotation horizontal,Arrows,https://wentin.github.io/IconPark/source/Arrows/rotation-horizontal.svg,rotation-horizontal,方向,横向旋转,"旋转, 横向, 水平旋转","rotation, lateral, horizontal rotation"
wheelchair,Others,https://wentin.github.io/IconPark/source/Others/wheelchair.svg,wheelchair,其它,轮椅,轮椅 残疾 运动,wheelchair disability movement
wechat,Brand,https://wentin.github.io/IconPark/source/Brand/wechat.svg,wechat,品牌,微信,"聊天, 社交, 沟通, 语音","chat, social, communication, voice"
link two,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/link-two.svg,link-two,内容编辑,链接,"链接, 关联","link, the association"
freeze column,Edit,https://wentin.github.io/IconPark/source/Edit/freeze-column.svg,freeze-column,编辑,冻结列,"固定首列, 列","fixed first column, column"
check correct,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/check-correct.svg,check-correct,内容编辑,对勾,"对勾, 正确, 复选, 多选","check mark, right, check, multiple choice"
database code,Datas,https://wentin.github.io/IconPark/source/Datas/database-code.svg,database-code,数据库,数据库代码,数据库代码,database code
block seven,Others,https://wentin.github.io/IconPark/source/Others/block-seven.svg,block-seven,其它,俄罗斯方块,"俄罗斯方块, 拼接, 模块, 组合, 组件, 游戏, 娱乐, 乐高, 魔方","tetris, high stitching, modules, combined, components, games, entertainment, music, rubik's cube"
weight,Health,https://wentin.github.io/IconPark/source/Health/weight.svg,weight,医疗健康,体重,"秤, 重量, 称量","scale, weight, weighing"
tape,Music,https://wentin.github.io/IconPark/source/Music/tape.svg,tape,声音,磁带,"磁带, 音乐, 复古, 收音机、","tape, music, retro, radio,"
water,Others,https://wentin.github.io/IconPark/source/Others/water.svg,water,其它,水资源,"节能, 环保, 新能源, 水资源","energy saving, environmental protection, new energy, water"
one to many,Edit,https://wentin.github.io/IconPark/source/Edit/one-to-many.svg,one-to-many,编辑,一对多,"一对多, 1:n, 比例","many, 1: n, the ratio of"
arrow left up,Arrows,https://wentin.github.io/IconPark/source/Arrows/arrow-left-up.svg,arrow-left-up,方向,箭头左上,"左上, 箭头",upper left arrow
three d glasses,Others,https://wentin.github.io/IconPark/source/Others/three-d-glasses.svg,three-d-glasses,其它,3D眼镜,"眼镜, 三维立体, 3d, 三维","glasses, three-dimensional, 3d, three-dimensional"
view grid list,Base,https://wentin.github.io/IconPark/source/Base/view-grid-list.svg,view-grid-list,基础,列表查看模式,"详情卡片, 详情模式, 列表模式, 列表","card details, details mode, list mode, list"
book one,Books,https://wentin.github.io/IconPark/source/Books/book-one.svg,book-one,书籍,书籍,"书本, 笔记, 文件","books, notes, files"
report,Base,https://wentin.github.io/IconPark/source/Base/report.svg,report,基础,举报,"举报, 检举, 告发, 报告","report, report, denounced the report"
play cycle,Arrows,https://wentin.github.io/IconPark/source/Arrows/play-cycle.svg,play-cycle,方向,循环播放,"刷新, 循环, 播放","refresh, cycle, play"
delete,Base,https://wentin.github.io/IconPark/source/Base/delete.svg,delete,基础,删除,"删除, 垃圾桶, 勒色桶","delete, trash, leatherhead barrel"
database success,Datas,https://wentin.github.io/IconPark/source/Datas/database-success.svg,database-success,数据库,数据库成功,数据库成功,database success
winking face,Emoji,https://wentin.github.io/IconPark/source/Emoji/winking-face.svg,winking-face,表情,眨眼睛,眨眼睛,blink
browser chrome,Brand,https://wentin.github.io/IconPark/source/Brand/browser-chrome.svg,browser-chrome,品牌,浏览器-chrome,"谷歌浏览器, Chrome","google browser, chrome"
memory,Hardware,https://wentin.github.io/IconPark/source/Hardware/memory.svg,memory,硬件,储存卡,"U盘, 硬盘, 储存, 硬件, 移动, 保存, 文件, 安全","u disk, hard disk, storage, hardware, move, save, file, security"
switch one,Hardware,https://wentin.github.io/IconPark/source/Hardware/switch-one.svg,switch-one,硬件,开关,"开关, 控制器, 调节器","switches, controllers, regulators"
power supply one,Hardware,https://wentin.github.io/IconPark/source/Hardware/power-supply-one.svg,power-supply-one,硬件,插头1,"电器, 通电, 断电, 插板, 插座, 插头, 转接头, 充电器","electrical, power, power, card, sockets, plugs, adapters, chargers"
mail,Base,https://wentin.github.io/IconPark/source/Base/mail.svg,mail,基础,邮件,"信封, 消息, 邮件, 文件","envelope, message, e-mail, file"
maslow pyramids,Charts,https://wentin.github.io/IconPark/source/Charts/maslow-pyramids.svg,maslow-pyramids,图表,马斯洛金字塔,"需求层次理论, 金字塔需求",hierarchy of needs pyramid demand
doc detail,Books,https://wentin.github.io/IconPark/source/Books/doc-detail.svg,doc-detail,书籍,文档详情,文档详情,document details
circles seven,Abstract,https://wentin.github.io/IconPark/source/Abstract/circles-seven.svg,circles-seven,抽象,圆圈,"圆圈, 抽象, 六个","circle, abstract, six"
shake,Others,https://wentin.github.io/IconPark/source/Others/shake.svg,shake,其它,震动,"震动, 颤抖, 抖动, 摇摆","shake, tremble, shake, sway"
zoom in,Base,https://wentin.github.io/IconPark/source/Base/zoom-in.svg,zoom-in,基础,放大,"搜索, 查找, 放大","search, find, zoom"
reject,Arrows,https://wentin.github.io/IconPark/source/Arrows/reject.svg,reject,方向,驳回,"拒绝, 驳回, 拒绝, 不通过, 有问题","he refused, rejected, rejected, not by, there is a problem"
iphone,Hardware,https://wentin.github.io/IconPark/source/Hardware/iphone.svg,iphone,硬件,苹果手机,"手机, 苹果, apple, 移动设备","phone, apple, apple, mobile devices"
signal tower one,Build,https://wentin.github.io/IconPark/source/Build/signal-tower-one.svg,signal-tower-one,建筑,信号塔,"电塔, 塔, 网络塔","electrical tower, tower, tower network"
all application,Others,https://wentin.github.io/IconPark/source/Others/all-application.svg,all-application,其它,全部,"管理, 四块, 更多, 应用, 导航, 四宫格, 矩阵, 米亚格, 全部应用","management, four, more, applications, navigation, the four grids, matrices, miya ge, all applications"
honey,Others,https://wentin.github.io/IconPark/source/Others/honey.svg,honey,其它,蜂蜜,"滋补, 补品, 养生, 蜂蜜","tonic, tonic, health, honey"
inbox r,Books,https://wentin.github.io/IconPark/source/Books/inbox-r.svg,inbox-r,书籍,收件箱,"收件箱, 文件","inbox, file"
financing one,Money,https://wentin.github.io/IconPark/source/Money/financing-one.svg,financing-one,钱财,理财,"货币兑换, 财富, 钱袋子","currency exchange, wealth, money bag"
doc success,Books,https://wentin.github.io/IconPark/source/Books/doc-success.svg,doc-success,书籍,文档成功,文档成功,documents success
circle five line,Abstract,https://wentin.github.io/IconPark/source/Abstract/circle-five-line.svg,circle-five-line,抽象,圆圈,"圆圈, 连接, 抽象, 五个","circle, connection, abstract, five"
plug,Others,https://wentin.github.io/IconPark/source/Others/plug.svg,plug,其它,插头,"插头, 插座, 电力","plugs, sockets, power"
application effect,Office,https://wentin.github.io/IconPark/source/Office/application-effect.svg,application-effect,办公,应用效果,"效果, 圆环, 圆形, 连接, 关联","effect, annular, circular, connected, associated"
text bold,Edit,https://wentin.github.io/IconPark/source/Edit/text-bold.svg,text-bold,编辑,文字加粗,"文字加速, 排版","accelerated text, layout"
loading,Base,https://wentin.github.io/IconPark/source/Base/loading.svg,loading,基础,加载,"等待, 加载, 转圈","wait, load, circling"
left c,Arrows,https://wentin.github.io/IconPark/source/Arrows/left-c.svg,left-c,方向,左-圆,"上一个, 箭头, 左, 圆圈箭头","on one arrow, left arrow circle"
magic wand,Edit,https://wentin.github.io/IconPark/source/Edit/magic-wand.svg,magic-wand,编辑,魔法棒,魔法棒 滤镜 特效,magic wand filter effects
pie two,Charts,https://wentin.github.io/IconPark/source/Charts/pie-two.svg,pie-two,图表,进度,"进度, 百分比, 饼图","progress, percentage, pie"
stamp,Edit,https://wentin.github.io/IconPark/source/Edit/stamp.svg,stamp,编辑,邮票,邮票,stamp
male,Base,https://wentin.github.io/IconPark/source/Base/male.svg,male,基础,男性,"男, 性别, 符号","male, gender, symbol"
connection box,Others,https://wentin.github.io/IconPark/source/Others/connection-box.svg,connection-box,其它,分组,"分组, 关联, 联系, 服务器, 技术, 管理","group, association, connection, server, technology, management"
skates,Clothes,https://wentin.github.io/IconPark/source/Clothes/skates.svg,skates,服饰,冰鞋,"鞋子, 靴子, 滑冰鞋","shoes, boots, skate shoes"
cones,Abstract,https://wentin.github.io/IconPark/source/Abstract/cones.svg,cones,抽象,坐标系,"坐标系, 三角, 立体","coordinate system, the triangle, perspective"
germs,Health,https://wentin.github.io/IconPark/source/Health/germs.svg,germs,医疗健康,病菌,"细菌, 病毒, 菌体, 病菌, 细小","bacteria, viruses, bacteria, germs, fine"
spinning top,Sports,https://wentin.github.io/IconPark/source/Sports/spinning-top.svg,spinning-top,运动,陀螺,"旋转, 陀螺仪, 转动, 转, 平衡, 速度","rotation, a gyroscope, rotation, transfer, balance, speed"
upside down face,Emoji,https://wentin.github.io/IconPark/source/Emoji/upside-down-face.svg,upside-down-face,表情,翻转笑脸,翻转笑脸,flip smile
icecream one,Foods,https://wentin.github.io/IconPark/source/Foods/icecream-one.svg,icecream-one,餐饮,雪糕,"零食, 冷食, 冰, 凉食","snacks, cold, ice, cold food"
booth,Build,https://wentin.github.io/IconPark/source/Build/booth.svg,booth,建筑,摊位,"超市, 门店, 作坊","supermarkets, stores, workshops"
other,Health,https://wentin.github.io/IconPark/source/Health/other.svg,other,医疗健康,其他,"其他科室, 添加, 新建, 增加","other departments, additions, new construction, increased"
eyes,Health,https://wentin.github.io/IconPark/source/Health/eyes.svg,eyes,医疗健康,眼睛,"眼科, 睁眼, 开启, 眼科","ophthalmology, eyes open, open, ophthalmology"
oceanengine,Brand,https://wentin.github.io/IconPark/source/Brand/oceanengine.svg,oceanengine,品牌,巨量引擎,"巨量引擎, 广告投放, 广告, 变现, 营销","massive engines, advertising, advertising, realization, marketing"
slightly smiling face,Emoji,https://wentin.github.io/IconPark/source/Emoji/slightly-smiling-face.svg,slightly-smiling-face,表情,微笑,微笑,smile
up one,Arrows,https://wentin.github.io/IconPark/source/Arrows/up-one.svg,up-one,方向,上1,上1,1
weibo,Brand,https://wentin.github.io/IconPark/source/Brand/weibo.svg,weibo,品牌,微博,"微博, 新浪微薄","weibo, sina meager"
socks,Clothes,https://wentin.github.io/IconPark/source/Clothes/socks.svg,socks,服饰,袜子,袜子,sock
cooking,Foods,https://wentin.github.io/IconPark/source/Foods/cooking.svg,cooking,餐饮,烹饪,"做饭, 厨师, 加工, 餐饮","cook, chef, processing, catering"
